review,prediction,confidence,top2_attention_words,words,weights_normalized,ghi_chu_phan_tich,vi_tri_tu_quan_trong_nhat
hương vị thom chắc do bên giao hàng vỡ mấy gói,KHÔNG MỈA MAI,0.285,"gói, mấy",hương | vị | thom | chắc | do | bên | giao | hàng | vỡ | mấy | gói,0.000 | 0.040 | 0.091 | 0.200 | 0.342 | 0.504 | 0.593 | 0.712 | 0.839 | 0.948 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
" làm ăn uy tín ghê, giao sai hàng",KHÔNG MỈA MAI,0.3346,"hàng, sai","làm | ăn | uy | tín | ghê, | giao | sai | hàng",0.000 | 0.044 | 0.205 | 0.391 | 0.619 | 0.746 | 0.907 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
chất lượng sản phẩm thấy mọi người rư mua thử dùng bé xem cải thiện khô da không dùng vài lần bé khô da nhẹ chuyển sang mẩn đỏ li ti lan rộng mặt cổ bụng bé ngứa ngáy cứ gãi suốt,MỈA MAI,0.5374,"suốt, gãi",chất | lượng | sản | phẩm | thấy | mọi | người | rư | mua | thử | dùng | bé | xem | cải | thiện | khô | da | không | dùng | vài | lần | bé | khô | da | nhẹ | chuyển | sang | mẩn | đỏ | li | ti | lan | rộng | mặt | cổ | bụng | bé | ngứa | ngáy | cứ | gãi | suốt,0.310 | 0.299 | 0.292 | 0.279 | 0.279 | 0.236 | 0.215 | 0.205 | 0.148 | 0.123 | 0.101 | 0.056 | 0.032 | 0.017 | 0.001 | 0.011 | 0.000 | 0.016 | 0.022 | 0.047 | 0.058 | 0.048 | 0.086 | 0.092 | 0.111 | 0.143 | 0.193 | 0.246 | 0.280 | 0.333 | 0.397 | 0.462 | 0.519 | 0.610 | 0.686 | 0.766 | 0.791 | 0.884 | 0.934 | 0.967 | 0.991 | 1.000,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),1.0
chất lượng khá ổn không cần kỳ vọng gì thì sẽ không thất vọng triết lý sống đấy mọi người,MỈA MAI,0.696,"người, đấy",chất | lượng | khá | ổn | không | cần | kỳ | vọng | gì | thì | sẽ | không | thất | vọng | triết | lý | sống | đấy | mọi | người,0.000 | 0.035 | 0.071 | 0.123 | 0.213 | 0.309 | 0.397 | 0.505 | 0.586 | 0.684 | 0.758 | 0.826 | 0.887 | 0.928 | 0.950 | 0.965 | 0.984 | 0.998 | 0.991 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
kem dưỡng da thơm thẩm thấu nhanh dùng 3 ngày mặt nổi mẩn đỏ hết hiệu quả nhanh thật,KHÔNG MỈA MAI,0.3636,"thật, nhanh",kem | dưỡng | da | thơm | thẩm | thấu | nhanh | dùng | 3 | ngày | mặt | nổi | mẩn | đỏ | hết | hiệu | quả | nhanh | thật,0.033 | 0.026 | 0.010 | 0.010 | 0.002 | 0.007 | 0.000 | 0.023 | 0.075 | 0.147 | 0.239 | 0.318 | 0.420 | 0.488 | 0.579 | 0.707 | 0.821 | 0.895 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
cửa hàng ok hàng ok tất cả ok hết chỉ có điều tôi order size m mà nhận được size xl thôi,MỈA MAI,0.7493,"xl, size",cửa | hàng | ok | hàng | ok | tất | cả | ok | hết | chỉ | có | điều | tôi | order | size | m | mà | nhận | được | size | xl | thôi,0.000 | 0.028 | 0.094 | 0.148 | 0.238 | 0.330 | 0.407 | 0.504 | 0.581 | 0.659 | 0.728 | 0.780 | 0.827 | 0.867 | 0.895 | 0.920 | 0.949 | 0.974 | 0.993 | 0.998 | 1.000 | 0.995,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),0.95
dép đẹp đi êm chân đi được 3 hôm thì đứt quai chất lượng xứng với giá tiền luôn,MỈA MAI,0.711,"luôn, tiền",dép | đẹp | đi | êm | chân | đi | được | 3 | hôm | thì | đứt | quai | chất | lượng | xứng | với | giá | tiền | luôn,0.000 | 0.036 | 0.099 | 0.159 | 0.241 | 0.338 | 0.444 | 0.537 | 0.630 | 0.722 | 0.788 | 0.841 | 0.882 | 0.918 | 0.950 | 0.968 | 0.977 | 0.993 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
quy trình giao hàng chậm trễ cửa hàng không giải quyết vấn đề khách hàng,MỈA MAI,0.5611,"hàng, khách",quy | trình | giao | hàng | chậm | trễ | cửa | hàng | không | giải | quyết | vấn | đề | khách | hàng,0.000 | 0.025 | 0.043 | 0.081 | 0.153 | 0.262 | 0.349 | 0.439 | 0.565 | 0.686 | 0.792 | 0.865 | 0.928 | 0.979 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
chất lượng tốt lắm xài 1 tuần da mình nổi mụn khắp mặt cảm ơn cửa hàng nhé,MỈA MAI,0.5324,"nhé, hàng",chất | lượng | tốt | lắm | xài | 1 | tuần | da | mình | nổi | mụn | khắp | mặt | cảm | ơn | cửa | hàng | nhé,0.000 | 0.042 | 0.096 | 0.181 | 0.236 | 0.324 | 0.403 | 0.467 | 0.567 | 0.647 | 0.725 | 0.776 | 0.852 | 0.886 | 0.920 | 0.952 | 0.977 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
tai nghe âm thanh tốt bass mạnh cắm vào máy tính thì chỉ nghe được một bên stereo đỉnh cao,KHÔNG MỈA MAI,0.4757,"cao, đỉnh",tai | nghe | âm | thanh | tốt | bass | mạnh | cắm | vào | máy | tính | thì | chỉ | nghe | được | một | bên | stereo | đỉnh | cao,0.062 | 0.027 | 0.013 | 0.001 | 0.000 | 0.004 | 0.028 | 0.055 | 0.102 | 0.145 | 0.161 | 0.245 | 0.339 | 0.403 | 0.519 | 0.638 | 0.759 | 0.852 | 0.943 | 1.000,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),1.0
phù hợp loại da ổn mùi hương ổn công dụng ổn mùi lạ so lọ từng dùng không hắc thơm nhè nhẹ dưỡng ẩm vừa không tốt,KHÔNG MỈA MAI,0.1553,"phù, hợp",phù | hợp | loại | da | ổn | mùi | hương | ổn | công | dụng | ổn | mùi | lạ | so | lọ | từng | dùng | không | hắc | thơm | nhè | nhẹ | dưỡng | ẩm | vừa | không | tốt,1.000 | 0.818 | 0.642 | 0.487 | 0.396 | 0.311 | 0.228 | 0.180 | 0.114 | 0.051 | 0.024 | 0.000 | 0.029 | 0.028 | 0.054 | 0.105 | 0.138 | 0.259 | 0.310 | 0.375 | 0.464 | 0.511 | 0.584 | 0.540 | 0.527 | 0.569 | 0.532,Bình thường,0.0
kiểm soát dầu tóc bết dã man bết sạch công cảm ơn coi công thức sản phẩm mới xài chán chán tóc mau bết mau ngứa mua xong xài vài lần phần ngó,MỈA MAI,0.7659,"vài, xài",kiểm | soát | dầu | tóc | bết | dã | man | bết | sạch | công | cảm | ơn | coi | công | thức | sản | phẩm | mới | xài | chán | chán | tóc | mau | bết | mau | ngứa | mua | xong | xài | vài | lần | phần | ngó,0.000 | 0.034 | 0.073 | 0.122 | 0.207 | 0.281 | 0.349 | 0.429 | 0.472 | 0.510 | 0.535 | 0.555 | 0.576 | 0.599 | 0.626 | 0.645 | 0.673 | 0.716 | 0.747 | 0.774 | 0.802 | 0.836 | 0.870 | 0.898 | 0.921 | 0.944 | 0.958 | 0.988 | 0.994 | 1.000 | 0.993 | 0.982 | 0.972,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),0.91
máy trông xịn thiết kế đẹp bật lên thì không hoạt động đúng là hàng chất lượng,MỈA MAI,0.6919,"lượng, chất",máy | trông | xịn | thiết | kế | đẹp | bật | lên | thì | không | hoạt | động | đúng | là | hàng | chất | lượng,0.000 | 0.055 | 0.116 | 0.179 | 0.247 | 0.333 | 0.427 | 0.528 | 0.637 | 0.736 | 0.826 | 0.891 | 0.936 | 0.977 | 0.988 | 0.997 | 1.000,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),1.0
son môi màu đỏ đẹp lắm lên màu chuẩn nhưng ăn một cái bánh là trôi hết màu bền thật,KHÔNG MỈA MAI,0.2066,"thật, màu",son | môi | màu | đỏ | đẹp | lắm | lên | màu | chuẩn | nhưng | ăn | một | cái | bánh | là | trôi | hết | màu | bền | thật,0.241 | 0.157 | 0.097 | 0.023 | 0.000 | 0.053 | 0.088 | 0.067 | 0.082 | 0.161 | 0.150 | 0.296 | 0.335 | 0.418 | 0.643 | 0.767 | 0.904 | 0.968 | 0.898 | 1.000,Từ quan trọng nhất ở cuối câu (có thể lệch vị trí),1.0
túi đẹp đóng gói kĩ túi lỗi đường nhắn tin qua cskh cửa hàng hỗ trợ không linh hoạt gấp mới nhận đỡ không quay lần,MỈA MAI,0.6901,"quay, lần",túi | đẹp | đóng | gói | kĩ | túi | lỗi | đường | nhắn | tin | qua | cskh | cửa | hàng | hỗ | trợ | không | linh | hoạt | gấp | mới | nhận | đỡ | không | quay | lần,0.000 | 0.015 | 0.022 | 0.035 | 0.065 | 0.109 | 0.166 | 0.207 | 0.247 | 0.276 | 0.302 | 0.341 | 0.384 | 0.430 | 0.495 | 0.554 | 0.635 | 0.703 | 0.780 | 0.834 | 0.887 | 0.928 | 0.965 | 0.988 | 1.000 | 0.994,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),0.96
giao hàng nhanh chóng không quà tặng quảng cáo so giá hơi chát cửa hàng,KHÔNG MỈA MAI,0.1747,"hơi, chát",giao | hàng | nhanh | chóng | không | quà | tặng | quảng | cáo | so | giá | hơi | chát | cửa | hàng,0.053 | 0.056 | 0.032 | 0.000 | 0.231 | 0.404 | 0.547 | 0.707 | 0.872 | 0.982 | 0.916 | 1.000 | 0.988 | 0.945 | 0.827,Bình thường,0.79
màu sắc đẹp như hình hình đen trắng hàng nhận về cũng đen trắng luôn đúng y chang,KHÔNG MỈA MAI,0.1539,"màu, chang",màu | sắc | đẹp | như | hình | hình | đen | trắng | hàng | nhận | về | cũng | đen | trắng | luôn | đúng | y | chang,1.000 | 0.787 | 0.729 | 0.572 | 0.431 | 0.259 | 0.192 | 0.217 | 0.184 | 0.237 | 0.195 | 0.000 | 0.071 | 0.165 | 0.415 | 0.512 | 0.729 | 0.874,Bình thường,0.0
màu y chang hình đẹp lắm mặc vào đi nắng 1 buổi là phai hết màu vải chất lượng cao đấy,MỈA MAI,0.7009,"cao, đấy",màu | y | chang | hình | đẹp | lắm | mặc | vào | đi | nắng | 1 | buổi | là | phai | hết | màu | vải | chất | lượng | cao | đấy,0.000 | 0.033 | 0.073 | 0.101 | 0.145 | 0.221 | 0.278 | 0.362 | 0.446 | 0.517 | 0.603 | 0.673 | 0.754 | 0.806 | 0.856 | 0.890 | 0.928 | 0.960 | 0.981 | 1.000 | 0.998,Có dấu hiệu lệch vị trí (tăng đơn điệu đến cuối câu),0.95
đóng gói rất cẩn thận thùng xốp dày giấy bọc nhiều lớp sản phẩm bên trong thì vẫn vỡ kỹ năng đóng gói đỉnh,KHÔNG MỈA MAI,0.1279,"đóng, gói",đóng | gói | rất | cẩn | thận | thùng | xốp | dày | giấy | bọc | nhiều | lớp | sản | phẩm | bên | trong | thì | vẫn | vỡ | kỹ | năng | đóng | gói | đỉnh,1.000 | 0.880 | 0.849 | 0.641 | 0.447 | 0.313 | 0.227 | 0.171 | 0.133 | 0.066 | 0.045 | 0.017 | 0.010 | 0.000 | 0.046 | 0.072 | 0.154 | 0.260 | 0.329 | 0.383 | 0.375 | 0.352 | 0.326 | 0.315,Bình thường,0.0
